Course,MenuSection,MenuSectionDescription,DishName,DishDescription,Options-why-not-add,Price,HighlightYes,AdditionalClass
Our Sunday Roast,,,,,,,,
,,1 course for <strong>£10.45</strong> | 2 courses for <strong>£12.45</strong>  | 3 courses for <strong>£14.45</strong> ,,,,,,
,Starters,,,,,,,
,,,PRAWN COCKTAIL,"With rich seafood sauce, cos lettuce and a mixed salad salsa, farmhouse bread and butter",,,,
,,,SOUP OF THE DAY,"Ask the team for today’s choice, served with warm sourdough bread",,,,
,,,BRUSCHETTA (v),"With a topping of chopped beef tomato,
red onion and a drizzle of basil oil",,,,
,Mains,,,,,,,
,,PLEASE ASK YOUR SERVER FOR TODAY’S ROAST MEATS AND VEGETARIAN OPTIONS.  ,,,,,,
,,,SUNDAY LUNCH,"Served with all the trimmings - Yorkshire pudding, seasonal vegetables, roast and mashed potatoes and gravy",,,Y,spanthegrid
,,,SUNDAY LUNCH PLATTER FOR TWO ,,,£21.95,,spanthegrid
,,,,,Add: Pigs in blankets £2.45,,,
,,,,,Add: Yorkshire pudding 75p,,,
,,,,,Add: Cauliflower cheese £3.25,,,
,Desserts,,,,,,,
,,,BAKEWELL TART (v) (ve) (gf),Traditional tart with coconut ice cream,,,,
,,,ULTIMATE BROWNIE FUDGE CAKE (v),"Chocolate brownie, salted caramel and chocolate fudge,
topped with brownie bits, salted caramel sauce
with Jude’s vanilla ice cream",,,,
,,,HOMEMADE CRUMBLE (v),"Apple and mixed fruit crumble with a buttery
flapjack topping, served with a creamy custard",,,,
,,,WINTER BERRY MESS SUNDAE (v),"Berry compote, Jude’s strawberry ice cream,
whipped cream, soft meringue and strawberry sauce",,,,
Kids Sunday Lunch,,,,,,,,
,,1 course for £4.95 | 2 courses for £5.95 | 3 courses for £6.95,,,,,,
,Kids Starters,,,,,,,
,,,DOUGH STICKS (v),Dough sticks served with melted garlic butter,,,,
,,,VEGGIE DIPPERS,Freshly cut vegetable sticks served with a smoky humous to dip,,,,
,,,CORN ON THE COB (v),Corn cobettes with a knob of butter,,,,
,Kids Main Course,,,,,,,
,,,PLEASE  ASK YOUR SERVER FOR TODAY’S ROAST MEATS AND VEGETARIAN OPTIONS,"Served with all the trimmings - Yorkshire pudding, seasonal vegetables, roast and mashed potatoes and gravy",,,Y,spanthegrid
,Kids Desserts,,,,,,,
,,,DOUGHNUT STICKS (v),Served with chocolate dipping sauce,,,,
,,,VANILLA ICE CREAM SUNDAE (v),Served with a wafer and choice of strawberry or chocolate sauce,,,,
,,,CHOCOLATE BROWNIE (v),Served with vanilla ice cream,,,,
,,"Gluten Free ingredients/dishes
Chocolate Brownie, Winter Berry Mess Sundae, Bakewell Tart",,,,,,
